id,title,franquicia,genres
862,Toy Story,Toy Story Collection,"['Animation', 'Comedy', 'Family']"
8844,Jumanji,,"['Adventure', 'Fantasy', 'Family']"
15602,Grumpier Old Men,Grumpy Old Men Collection,"['Romance', 'Comedy']"
31357,Waiting to Exhale,,"['Comedy', 'Drama', 'Romance']"
11862,Father of the Bride Part II,Father of the Bride Collection,['Comedy']
949,Heat,,"['Action', 'Crime', 'Drama', 'Thriller']"
11860,Sabrina,,"['Comedy', 'Romance']"
45325,Tom and Huck,,"['Action', 'Adventure', 'Drama', 'Family']"
9091,Sudden Death,,"['Action', 'Adventure', 'Thriller']"
710,GoldenEye,James Bond Collection,"['Adventure', 'Action', 'Thriller']"
9087,The American President,,"['Comedy', 'Drama', 'Romance']"
12110,Dracula: Dead and Loving It,,"['Comedy', 'Horror']"
21032,Balto,Balto Collection,"['Family', 'Animation', 'Adventure']"
10858,Nixon,,"['History', 'Drama']"
1408,Cutthroat Island,,"['Action', 'Adventure']"
524,Casino,,"['Drama', 'Crime']"
4584,Sense and Sensibility,,"['Drama', 'Romance']"
5,Four Rooms,,"['Crime', 'Comedy']"
9273,Ace Ventura: When Nature Calls,Ace Ventura Collection,"['Crime', 'Comedy', 'Adventure']"
11517,Money Train,,"['Action', 'Comedy', 'Crime']"
8012,Get Shorty,Chili Palmer Collection,"['Comedy', 'Thriller', 'Crime']"
1710,Copycat,,"['Drama', 'Thriller']"
9691,Assassins,,"['Action', 'Adventure', 'Crime', 'Thriller']"
12665,Powder,,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']"
451,Leaving Las Vegas,,"['Drama', 'Romance']"
16420,Othello,,['Drama']
9263,Now and Then,,"['Comedy', 'Drama', 'Family']"
17015,Persuasion,,"['Drama', 'Romance']"
902,The City of Lost Children,,"['Fantasy', 'Science Fiction', 'Adventure']"
37557,Shanghai Triad,,"['Drama', 'Crime']"
9909,Dangerous Minds,,"['Drama', 'Crime']"
63,Twelve Monkeys,,"['Science Fiction', 'Thriller', 'Mystery']"
78802,Wings of Courage,,"['Romance', 'Adventure']"
9598,Babe,Babe Collection,"['Fantasy', 'Drama', 'Comedy', 'Family']"
47018,Carrington,,"['History', 'Drama', 'Romance']"
687,Dead Man Walking,,['Drama']
139405,Across the Sea of Time,,"['Adventure', 'History', 'Drama', 'Family']"
33689,It Takes Two,,"['Comedy', 'Family', 'Romance']"
9603,Clueless,,"['Comedy', 'Drama', 'Romance']"
34615,"Cry, the Beloved Country",,['Drama']
31174,Richard III,,"['Drama', 'War']"
11443,Dead Presidents,,"['Action', 'Crime', 'Drama', 'History']"
35196,Restoration,,"['Drama', 'Romance']"
9312,Mortal Kombat,Mortal Kombat Collection,"['Action', 'Fantasy']"
577,To Die For,,"['Fantasy', 'Drama', 'Comedy', 'Thriller']"
11861,How To Make An American Quilt,,"['Drama', 'Romance']"
807,Se7en,,"['Crime', 'Mystery', 'Thriller']"
10530,Pocahontas,Pocahontas Collection,"['Adventure', 'Animation', 'Drama', 'Family']"
8391,When Night Is Falling,,"['Drama', 'Romance']"
629,The Usual Suspects,,"['Drama', 'Crime', 'Thriller']"
117164,Guardian Angel,,"['Action', 'Thriller', 'Drama']"
11448,Mighty Aphrodite,,"['Comedy', 'Romance']"
49133,Lamerica,,"['Drama', 'Foreign']"
26441,The Big Green,,"['Action', 'Adventure', 'Comedy', 'Family']"
97406,Georgia,,['Drama']
124057,Kids of the Round Table,,[]
