title,franquicia,genres
Toy Story,Toy Story Collection,"['Animation', 'Comedy', 'Family']"
Jumanji,,"['Adventure', 'Fantasy', 'Family']"
Grumpier Old Men,Grumpy Old Men Collection,"['Romance', 'Comedy']"
Waiting to Exhale,,"['Comedy', 'Drama', 'Romance']"
Father of the Bride Part II,Father of the Bride Collection,['Comedy']
Heat,,"['Action', 'Crime', 'Drama', 'Thriller']"
Sabrina,,"['Comedy', 'Romance']"
Tom and Huck,,"['Action', 'Adventure', 'Drama', 'Family']"
Sudden Death,,"['Action', 'Adventure', 'Thriller']"
GoldenEye,James Bond Collection,"['Adventure', 'Action', 'Thriller']"
The American President,,"['Comedy', 'Drama', 'Romance']"
Dracula: Dead and Loving It,,"['Comedy', 'Horror']"
Balto,Balto Collection,"['Family', 'Animation', 'Adventure']"
Nixon,,"['History', 'Drama']"
Cutthroat Island,,"['Action', 'Adventure']"
Casino,,"['Drama', 'Crime']"
Sense and Sensibility,,"['Drama', 'Romance']"
Four Rooms,,"['Crime', 'Comedy']"
Ace Ventura: When Nature Calls,Ace Ventura Collection,"['Crime', 'Comedy', 'Adventure']"
Money Train,,"['Action', 'Comedy', 'Crime']"
Get Shorty,Chili Palmer Collection,"['Comedy', 'Thriller', 'Crime']"
Copycat,,"['Drama', 'Thriller']"
Assassins,,"['Action', 'Adventure', 'Crime', 'Thriller']"
Powder,,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']"
Leaving Las Vegas,,"['Drama', 'Romance']"
Othello,,['Drama']
Now and Then,,"['Comedy', 'Drama', 'Family']"
Persuasion,,"['Drama', 'Romance']"
The City of Lost Children,,"['Fantasy', 'Science Fiction', 'Adventure']"
Shanghai Triad,,"['Drama', 'Crime']"
Dangerous Minds,,"['Drama', 'Crime']"
Twelve Monkeys,,"['Science Fiction', 'Thriller', 'Mystery']"
Wings of Courage,,"['Romance', 'Adventure']"
Babe,Babe Collection,"['Fantasy', 'Drama', 'Comedy', 'Family']"
Carrington,,"['History', 'Drama', 'Romance']"
Dead Man Walking,,['Drama']
Across the Sea of Time,,"['Adventure', 'History', 'Drama', 'Family']"
It Takes Two,,"['Comedy', 'Family', 'Romance']"
Clueless,,"['Comedy', 'Drama', 'Romance']"
"Cry, the Beloved Country",,['Drama']
Richard III,,"['Drama', 'War']"
Dead Presidents,,"['Action', 'Crime', 'Drama', 'History']"
Restoration,,"['Drama', 'Romance']"
Mortal Kombat,Mortal Kombat Collection,"['Action', 'Fantasy']"
To Die For,,"['Fantasy', 'Drama', 'Comedy', 'Thriller']"
How To Make An American Quilt,,"['Drama', 'Romance']"
Se7en,,"['Crime', 'Mystery', 'Thriller']"
Pocahontas,Pocahontas Collection,"['Adventure', 'Animation', 'Drama', 'Family']"
When Night Is Falling,,"['Drama', 'Romance']"
The Usual Suspects,,"['Drama', 'Crime', 'Thriller']"
Guardian Angel,,"['Action', 'Thriller', 'Drama']"
Mighty Aphrodite,,"['Comedy', 'Romance']"
Lamerica,,"['Drama', 'Foreign']"
The Big Green,,"['Action', 'Adventure', 'Comedy', 'Family']"
Georgia,,['Drama']
Kids of the Round Table,,[]
Home for the Holidays,,"['Comedy', 'Drama', 'Romance']"
The Postman,,"['Comedy', 'Drama', 'Romance']"
The Confessional,,"['Thriller', 'Drama', 'Mystery']"
The Indian in the Cupboard,,"['Adventure', 'Family', 'Fantasy']"
Eye for an Eye,,"['Drama', 'Thriller']"
Mr. Holland's Opus,,"['Music', 'Drama', 'Family']"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,['Comedy']
Two If by Sea,,"['Comedy', 'Romance']"
Bio-Dome,,['Comedy']
Lawnmower Man 2: Beyond Cyberspace,The Lawnmower Man Collection,"['Action', 'Science Fiction']"
Two Bits,,"['Drama', 'Family']"
French Twist,,"['Comedy', 'Romance']"
Friday,Friday Collection,['Comedy']
From Dusk Till Dawn,From Dusk Till Dawn Collection,"['Horror', 'Action', 'Thriller', 'Crime']"
Fair Game,,"['Action', 'Thriller', 'Romance']"
Kicking and Screaming,,"['Comedy', 'Drama', 'Romance']"
Les Miserables,,"['Drama', 'History']"
Bed of Roses,,"['Drama', 'Romance']"
Big Bully,,"['Comedy', 'Family']"
